line_number,content,category,character
1,{{面包屑|角色图鉴|{{#titleparts:{{PAGENAME}}|1}}}}{{角色导航}},default,
2,==官方介绍==,default,
3,[[文件:驭空官方介绍图.jpg|200px|缩略图]],default,
4,"<div class=""row"">",default,
5,"<div class=""col-sm-9"">",default,
6,{{角色介绍,default,
7,|职业背景=456e71,default,
8,|职业颜色=f6fff7,default,
9,|职业=「罗浮」天舶司司舵,default,
10,|介绍=你好，「星穹列车」的客人。<br>我是「罗浮」天舶司的主司驭空，欢迎来到仙舟做客。<br>你们来得正巧，「罗浮」周围宙域最近都十分宁靖——<br>是个出航的好日子，不是么？,default,
11,|表格背景=fffbef,default,
12,|表格边框=d3987d,default,
13,|标题颜色=1d4e5e,default,
14,|标题1=为什么会加入天舶司…,default,
15,|内容颜色=ad5c3d,default,
16,|内容1=我们狐人虽也被称作「长生种」，但寿元也不过三百余载。<br>所以，我们中的许多人更加乐于尽情享受生活乐趣——全心全灵，只为追求生活的极致。<br>而我嘛，正巧是狐人女孩里最风雷的那类。<br>在老一辈仙舟人口中，你还可能听说过我连闯六个红灯的战绩呢。,default,
17,|备注1=素裳的备注<br><small>我听过我听过！「星火之狐」的传说，「罗浮」第一王牌飞行士…驭空大人留下的纪录至今无人能破！</small>,default,
18,|标题2=司舵平时的工作是…,default,
19,|内容2=「罗浮」内部空域与星际航行、交通工具的维护，乃至仙舟与其他智慧种族的贸易和交流…大大小小不一而足。<br>我虽不再坐镇前线，但凡此种种到底是要经我之手的。<br>虽然升任司舵，我却是行伍出身，本不擅长这些心思细密的经营。多亏了停云与司部众人相助——若要离了他们，罗浮可无法在这短短三十年间恢复生机……,default,
20,|备注2=停云的备注<br><small>论「使舵」的本领，小女子还所差甚远…驭空大人就是最强的~</small>,default,
21,|标题3=你是怎样成为司舵的…,default,
22,|内容3=从维护员到飞行士，还有武备士和观星士，天舶司的每个岗位我都待过…但要说起一切的源头，那可是个有趣的故事了。<br>在星槎海主航道上飙星槎的那会儿，我才刚成年没多久，结果就被人提溜到将军面前…可他竟然当场让我加入天舶司——只因为我星槎开得实在漂亮，想来定能在这天舶司大有作为。<br>只可惜…现在的我已经再也回不到属于我的那片天空了。,default,
23,|备注3=景元的备注<br><small>人人都当驭空司舵是退休了…殊不知她在放下最热爱的飞行后，选择了另一条更艰难的道路。</small>,default,
24,|标题4=为什么说「再也回不去了」…,default,
25,|内容4=域外的人们总是羡慕仙舟民的无尽形寿…可他们不知道的是，我们恰恰在经历着永恒的衰老。<br>的确，我仍像五十岁那年一样精力充沛。<br>我能驾驶着星槎穿过不足两丈宽的峡谷，我也能和人连续跳上几个时辰的舞，一直歌唱、狂欢，直到天亮……<br>但我不会再这么做了。我不想再这么做了。它们不再能给我带来任何乐趣。已经没什么能给我带来太多乐趣的事物了。,default,
26,|备注4=白露的备注<br><small>驭空司舵…每每见我，总说自己已经放下过往了，但其实还是放不下吧。</small>,default,
27,}},default,
28,<center><gallery mode=nolines>,default,
29,驭空官方故事图.jpg|角色故事,default,
