line_number,content,category,character
1,{{面包屑|角色图鉴|{{#titleparts:{{PAGENAME}}|1}}}}{{角色导航}},default,
2,==官方介绍==,default,
3,[[File:黄泉官方介绍图.png|thumb|200px]],default,
4,"<div class=""row"">",default,
5,"<div class=""col-sm-9"">",default,
6,[[File:黄泉官方介绍图2.png|500px|center]]<br>,default,
7,{{角色介绍,default,
8,|职业背景=000000,default,
9,|职业颜色=f1ebef,default,
10,|身份=自称「巡海游侠」的独行者，淡漠寡言，本名不详,default,
11,"|职业=自称「巡海游侠」的独行者，<br><span style=""color:#bd2022"">淡漠寡言，本名不详</span>",default,
12,|介绍=我是黄泉…<br>除此之外，还需要说些别的么？,default,
13,|表格背景=D7D7D7,default,
14,|表格边框=AB2F37,default,
15,|标题颜色=e4dcdf,default,
16,|标题背景=000000,default,
17,|内容颜色=000000,default,
18,|备注颜色=000000,default,
19,|标题1=先吃点水果？,default,
20,|内容1=好。就这颗桃子吧，它汇聚了生命的喜悦，我很喜欢…也相信它的味道，依旧如我记忆中那般甜美。,default,
21,"|备注1=<span style=""color:#c04848"">三月七的备注：</span>我这儿还有好多好吃的，黄泉小姐来列车上随便挑~",content,三月七的备注
22,|标题2=名字的由来,default,
23,|内容2=看来你有些意外。这名字由来复杂，三言两语恐怕难以言明。但如若有一日…你知道我是怎样的人，理解我做过怎样的事，如此之后…便能知晓「黄泉」的含义。,default,
24,"|备注2=<span style=""color:#c04848"">砂金的备注：</span>果然，和无法一眼看透的人在同一赌局里，才能体会成败未知的快感。",content,砂金的备注
25,|标题3=关于随身携带的妆具,default,
26,|内容3=只是一种习惯。记得家乡时有雷雨，女孩们害怕湿了妆容，总是随身携带妆具。虽然现在…故乡的记忆已有些遥远，但我依然会带着它们。<br>你说雷雨天会令人困倦…？嗯，黯淡的天空是会在无形中消磨人的精神，但对现在的我而言，「雨」却是不可多得的，能从萧索声响中获取片刻宁静的时分。,default,
27,"|备注3=<span style=""color:#c04848"">黑天鹅的备注：</span>同过去相比，如今的雨…确实算得上宁静宜人了。",content,黑天鹅的备注
28,|标题4=独行银河的感受…,default,
29,|内容4=银河的浩瀚很容易令人心生孤独、迷茫。但有时，行途中邂逅的人也会给你导向。即便相处的时间很短暂，可我依旧会把它当作一种慰藉。<br>其实独行银河的人，无非两种渴求：找到前人的行迹、寻得自己的道路。但在祂们的注视下…后者大多止于前者。,content,无非两种渴求
30,"|备注4=<span style=""color:#c04848"">瓦尔特的备注：</span>在浩瀚的星海间，所有人都会留下他们自己的痕迹。",content,瓦尔特的备注
31,}},default,
32,<center><gallery mode=nolines>,default,
33,File:黄泉角色介绍图1.jpg|角色介绍1,default,
34,File:黄泉角色介绍图2.jpg|角色介绍2,default,
35,File:黄泉角色前瞻图.jpg|角色前瞻,default,
36,File:黄泉官方故事图.jpg|角色故事,default,
37,File:黄泉壁纸.jpg|手机壁纸,default,
38,</gallery></center>,default,
39,</div></div>,default,
40,{{相关光锥|黄泉}},default,
41,,default,
42,{{人物出场|黄泉}},default,
43,,default,
44,==相关物品==,default,
45,{{相关物品|黄泉}},default,
46,==人物考据==,default,
47,*于pv中得知，黄泉出身于已被毁灭的出云国。出云国曾有八百万神降临出云祸害世间，出云化剑七万三十三柄铸成护世诏刀十二把以抗八百万神。然护世诏刀也被斩断，又折剑十二柄铸成负世诏刀两柄，最后出云国与高天神国都被毁灭，只剩下黄泉所持的名为【无】的大太刀。于现实日本神话体系而言，出云是须佐之男斩杀八岐大蛇，得到大蛇尾部的神剑天丛云的地方；八百万神也并非指字面意义上真有八百万位有名号的神明，是一种虚指。意为数量很多，各司其职。,default,
48,----,default,
49,*额外能力——奈落：ならく，日语中地狱的意思。,content,奈落
50,*额外能力——赤鬼：玩过只狼的朋友可能比较熟悉这个名字，实为日本鬼怪中对按照皮肤颜色对鬼的一种称呼。红的呢赤鬼，青色的青鬼。,content,赤鬼
51,*秘技——四相断我：《金刚经》中四相为我相、人相、众生相、寿者相。,content,四相断我
52,*普攻——三途枯榷：三途，佛教语。三途即为火途（地狱道）、血途（畜生道）、刀途（饿鬼道）。,content,三途枯榷
53,*黄泉本名是古代日本人常用的一种名字格式：姓+官职+名，因此黄泉真名就是“雷电芽衣”。,content,黄泉本名是古代日本人常用的一种名字格式
54,*黄泉英文名Acheron出自《希腊神话》，音译为阿刻戎河。神话中赫尔墨斯神将亡灵接引到冥界。在这里，汹涌奔流着一条黑色的大河，阿刻戎河。大河阻挡着亡灵们的道路，唯有冥界的摆渡人卡戎的船能摆渡亡灵。,default,
55,----,default,
56,*定分枪分数：无法测定,content,定分枪分数
