line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=黎明鸣响的一千只铃,default,
4,|任务地区=匹诺康尼,default,
5,|任务类型=开拓任务,default,
6,|所属版本=2.3,default,
7,|任务描述=列车组终于登上了「晖长石号」，静待谐乐大典开始——然而花火的出现却打破了节庆的氛围。<br>为了排除愚者在空艇上埋下的隐患，你动员了自己手上的一切人脉，终于定位到了那枚真正的炸弹。<br>绚丽的烟花在梦幻的夜空中盛开，你与流萤在转瞬即逝的美好中留下了共同的记号。,default,
8,|奖励={{图标|里程|800}}{{图标|星琼|100}}{{图标|漫游指南|8}}{{图标|遗失晶块|8}}{{图标|金表钞|400}}{{图标|信用点|120000}},default,
9,|任务条件=完成任务[[士兵的报酬]],default,
10,|开放等级=34,default,
11,|相关成就=通往群星的轨道#愚人船,default,
12,|相关道具=,default,
13,|相关书籍=,default,
14,|出场人物=波提欧、砂金、真理医生、托帕、翡翠、银枝、流萤、花火、知更鸟、三月七、丹恒、姬子、瓦尔特,default,
15,|领取地点=,default,
16,|系列任务=再见，匹诺康尼,default,
17,|任务编号=06,default,
18,|前置任务=*[[士兵的报酬]],default,
19,|后续任务=*[[异乡异客]],default,
20,|任务流程=*（可选）与各位来宾聊聊,default,
21,*找个位置，等待谐乐大典开幕,default,
22,*根据「花火妙妙藏宝图」找到炸弹,default,
23,*找到第1000只炸弹,default,
24,}},default,
25,,default,
26,==剧情内容==,default,
27,=== （可选）与各位来宾聊聊 ===,default,
28,{{任务描述|谐乐大典开幕在即，而「晖长石号」也基本被你扫荡一空……<br>什么，你说没有参与感？好吧，距离开幕式其实还有一段时间，你不妨再到处转转，累了再找个座位等待典礼开幕吧。|匹诺康尼-晖长石号}},default,
29,*开拓者：结果决定匹诺康尼未来的会议比想象中顺利好多…几乎没什么争论就结束了。,content,开拓者
30,*开拓者：谐乐大典的开幕式应该快开始了，去现场看看吧。,content,开拓者
31,*开拓者：（这艘空艇上的宝贝也不少，收获颇丰……）,content,开拓者
32,----,default,
33,:{{颜色|灰|旁听波提欧和砂金的投影的对话}},default,
34,*波提欧：…别忘了，我随时都可以一枪爱死你。,content,波提欧
35,*砂金：那可真是我的荣幸…放心吧，我最讨厌的就是在赌桌上出千。,content,砂金
36,*波提欧：哼…你最好是。,content,波提欧
37,*砂金：看看，这是谁来了？星穹列车的大英雄，全匹诺康尼如今最耀眼的开拓者先生/小！,content,砂金
38,*波提欧：哟，你也在这儿啊？好久不见，朋友。,content,波提欧
39,{{剧情选项,default,
40,|选项1=你们说什么悄悄话呢？,option,开拓者
41,|剧情1=*砂金：只是寒暄的开场词而已，你我心照不宣就好。,branch_content,砂金
42,|选项2=你是不是见谁都一顿夸，砂金？,option,开拓者
43,|剧情2=*砂金：只是寒暄的开场词而已，你我心照不宣就好。,branch_content,砂金
44,|选项3=怎么和公司站一边了，牛仔？,option,开拓者
45,|剧情3=*波提欧：这家伙…和我在追查的某个大可爱有关。那句话怎么说的来着？「敌人的敌人就是朋友」。,branch_content,波提欧
46,}},default,
47,*波提欧：算了，上不得台面的事先放一边吧，别坏了谐乐大典的气氛。,content,波提欧
48,*砂金：我同意。那就让我们恭喜一下开拓者先生/小姐吧。我听说家族要在谐乐大典上好好感谢你们列车组呢。哎，不能亲临现场真是太可惜了。,content,砂金
49,{{剧情选项,default,
50,|选项1=砂金，你退场退得还真匆忙。,option,开拓者
51,|剧情1=*砂金：我的任务只是给公司入局撕开一道口子。别的不谈，就这件事而言，我自觉应该完成的还算不错。,branch_content,砂金
52,*砂金：你们在流梦礁逗留的时候，其实我也就在附近。多亏有一位博学的朋友，不然我还真挖不到这么多黑料呢。,content,砂金
53,*砂金：就是那位令使有点用力过猛…我的身体支撑不了多久，否则这事还能结得更利落。,content,砂金
54,|选项2=牛仔，感谢你们在决战里出手。,option,开拓者
55,|剧情2=*波提欧：哈，小意思。惩奸除恶可是头等大事，要是少了我们那才奇怪呢。,branch_content,波提欧
56,*波提欧：先前来这么一下子，我们巡海游侠也算是再度出山了。你今后在路上估计能遇到不少「巡猎」的同志，拜托你替我问声好。,content,波提欧
57,|选项3=你们刚才到底在聊什么？,option,开拓者
58,|剧情3=*波提欧：算了，明人不说暗话，我直说了吧：我和一个叫{{注音|奥斯瓦尔多•施耐德|「市场开拓部」主管}}的高管有仇，而这个花枝招展的家伙能帮我找到他。,branch_content,波提欧
59,*砂金：市场开拓部和战略投资部的恩怨全银河皆知，但我还真没想到，连巡海游侠都有机会牵连其中。,content,砂金
60,*砂金：看来…事情要变得有意思起来了。,content,砂金
61,|图标1=对话,default,
62,|图标2=对话,default,
63,|图标3=对话,default,
64,|选项4=祝你们在大典上玩得开心。,option,开拓者
65,|剧情4=*波提欧：多谢，也祝你玩得开心，匹诺康尼的大英雄！,branch_content,波提欧
66,*砂金：我就免了。不过，祝你玩得开心，不介意的话，回头我们再玩上两把。,content,砂金
67,}},default,
68,{{折叠|标题=额外对话（波提欧）|内容=,default,
69,*波提欧：这种日子就该撒开了玩——祝你玩得开心，匹诺康尼的大英雄！,content,波提欧
70,|折叠=是}},default,
71,----,default,
72,:{{颜色|灰|与真理医生对话}},default,
73,*真理医生：哦？我记得你，你在空间站「黑塔」的表现…基本及格。,content,真理医生
74,*真理医生：呵，难怪那个赌徒如此看重你。,content,真理医生
75,{{剧情选项,default,
76,|选项1=我都不知道你也来了。,option,开拓者
77,|剧情1=*真理医生：博识学会派我来给公司的使节监考。哼，教务办公室的任务罢了。,branch_content,真理医生
78,|选项2=你还认识砂金？,option,开拓者
79,|剧情2=*真理医生：他是我此行的监考对象。哼，教务办公室的任务罢了。,branch_content,真理医生
80,|选项3=拉帝奥教授，请给我签名！,option,开拓者
81,|剧情3=*真理医生：别和那个赌徒一样总想耍小聪明。这次我就睁一只眼闭一只眼，下不为例。,branch_content,真理医生
82,}},default,
83,*真理医生：行了，谐乐大典不是马上要开始了么？机会难得，去吧，只有劳逸结合才能更好地汲取知识。,content,真理医生
84,{{剧情选项,default,
85,|选项1=你如何评价砂金？,option,开拓者
