line_number,content,category,character
1,{{面包屑|角色图鉴|{{#titleparts:{{PAGENAME}}|1}}}}{{角色导航}},default,
2,==官方介绍==,default,
3,"<div class=""row"">",default,
4,"<div class=""col-sm-9"">",default,
5,{{角色介绍,default,
6,|职业背景=e2dc7f,default,
7,|职业颜色=fff,default,
8,|职业=天才俱乐部#83,default,
9,|介绍=我是黑塔，空间站「黑塔」的主人…仅限于法律上。<br>造好这地方，放完东西，我就不管了<br>——现在和你说话的，是我远程操纵的人偶。<br>好看当然是好看的，但跟我小时候比，勉强七分相似吧。<br>,default,
10,|表格背景=9378aa,default,
11,|表格边框=e2dc7f,default,
12,|标题颜色=fff,default,
13,|标题1=为什么要使用人偶…,default,
14,|内容颜色=fff,default,
15,|内容1=原因之一是，我的时间那么宝贵，怎么能随意浪费？只是有些人计较你不亲自现身差点诚意，又有些人笃信面对面的沟通才是最有效的。借助人偶，简单高效，效率倍增。,default,
16,"|备注1=<span style=""color:#6c1ca2"">'''姬子的备注'''<br></span><small>尊敬的黑塔女士，您到底同时在开几个会？</small>",default,
17,|标题2=如何对待喜欢的藏品…,default,
18,|内容2=藏品没有喜不喜欢，只有让人感不感兴趣，这完全取决于它的研究价值。我用不着喜欢你，但我对你感兴趣呀！,default,
19,"|备注2=<span style=""color:#6c1ca2"">'''三月七的备注'''<br></span><small>快逃！</small>",default,
20,|标题3=关于天才俱乐部…,default,
21,|内容3=这个破俱乐部里面的人彼此完全不交流，但这也是它的优点——对我没有任何所图，甚至不在乎有没有我！幸好所有人都是天才，我顺利找到了能一起开发「模拟宇宙」的学术伙伴。,default,
22,"|备注3=<span style=""color:#6c1ca2"">'''丹恒的备注'''<br></span><small>彼此完全不交流——全宇宙最神秘的组织「天才俱乐部」保持神秘的原因。</small>",default,
23,|标题4=你有朋友吗？,default,
24,|内容4=空间站如此井井有条，也不是我朋友帮忙打理的；「模拟宇宙」如此声名远扬，也不是和我朋友联合开发的。所以朋友重要吗？,default,
25,"|备注4=<span style=""color:#6c1ca2"">'''艾丝妲的备注'''<br></span><small>太棒了，受到了黑塔女士的认可！</small>}}",default,
26,"<center><gallery mode=""nolines"">",default,
27,黑塔角色介绍图1.png|角色介绍1,default,
28,黑塔角色介绍图2.png|角色介绍2,default,
29,黑塔手机壳.jpg|手机壳,default,
30,黑塔壁纸.png|手机壁纸,default,
31,</gallery></center>,default,
32,</div></div>,default,
33,,default,
34,{{相关光锥|黑塔}},default,
35,,default,
36,{{人物出场|黑塔|分栏=是}},default,
37,==相关物品==,default,
38,{{相关物品|黑塔}},default,
39,==角色对话==,default,
40,===大世界对话===,default,
41,{{折叠|折叠=是|标题=大世界对话-首次|内容=,default,
42,}},default,
43,,default,
44,{{折叠|折叠=是|标题=大世界对话-日常{{#info:本对话仅限「主控舱段」处黑塔NPC}}|内容=,default,
45,'''完成空间站「黑塔」主线''',default,
46,*黑塔：哼哼，我对你还有点兴趣，有什么要问的就问。,content,黑塔
47,{{剧情选项,default,
48,|选项1=我想问…,option,开拓者
