line_number,content,category,character
1,{{角色语音表头|黑天鹅|未完善=是}},default,
2,{{切换板|开始}},default,
3,{{切换板|默认显示|互动语音}},default,
4,{{切换板|默认折叠|战斗语音}},default,
5,{{切换板|显示内容}}{{角色语音,default,
6,|语音类型=初次见面,default,
7,|语音文件=黑天鹅-初次见面,default,
8,|语音内容=开拓者？有趣的名字，唔，还有难以看穿的命运。,default,
9,|语音内容日语=開拓者、面白い名前。ふふ、あなた、簡単には見抜けない運命にあるのね。,default,
10,|语音内容英语=Trailblazer? Intriguing name. Hmm... and a fate that's quite elusive...,default,
11,"|语音内容韩语=개척자? 재미있는 이름이네. 음, 그리고 꽤 간파하기 힘든 운명이야",default,
12,}},default,
13,{{角色语音,default,
14,|语音类型=问候,default,
15,|语音文件=黑天鹅-问候,default,
16,|语音内容=最近过得怎么样？有烦心事的话，要让我替你占卜…决定「选择」么？,default,
17,|语音内容日语=最近はどう？悩みがあるなら、私が占ってあげるわ…「選択」は定まったかしら？,default,
18,"|语音内容英语=How's the journey been? If there's something weighing you down, let me do a little divination for you...",default,
19,|语音内容韩语=요즘 어떻게 지내? 고민이 있다면 「선택」을 결정할 수 있게… 점 좀 쳐볼까?,default,
20,}},default,
21,{{角色语音,default,
22,|语音类型=道别,default,
23,|语音文件=黑天鹅-道别,default,
24,|语音内容=不用担心，只要我不抹去你的记忆，你就不会忘记我~,default,
25,|语音内容日语=心配しないで。私があなたの記憶を消さない限り、あなたが私を忘れることはないから。,default,
26,"|语音内容英语=Fear not, unless I wipe away your memories, forgetting me is not an option~",default,
27,"|语音内容韩语=걱정하지 마, 내가 너의 기억을 지우지 않는 이상 날 잊지는 않을 거야~",default,
28,}},default,
29,{{角色语音,default,
30,|语音类型=关于自己•存在,default,
31,|语音文件=黑天鹅-关于自己•存在,default,
32,|语音内容=凡人只能看见物质，却不明白精神与灵性才是宇宙的本质。受「浮黎」的恩赐，我们摆脱易坏的实体，得以亲近真正的存在。,default,
33,|语音内容日语=物質しか見ることのできない凡人は、精神と魂こそが宇宙の本質であることを理解していない。「浮黎」の恩恵を受け、私たちは壊れやすい実体から抜け出し、真の存在に近づくことができるようになったの。,default,
34,"|语音内容英语=Mortals are bound to the perception of the tangible, failing to comprehend that it is the spirit and the spiritual that form the true essence of the cosmos. Through the grace of ""Fuli,"" we may shed our perishable forms and attain closeness to the true essence of being.",default,
35,|语音内容韩语=평범한 사람은 물질만 보이고 정신과 영성이 우주의 본질인 걸 깨닫지 못해. 우리는 「후리」의 은혜로 말미암아 쉽게 망가지는 실체에서 벗어나 진정한 존재에 가까워졌지,default,
36,}},default,
37,{{角色语音,default,
38,|语音类型=关于自己•愿望,default,
39,|语音文件=黑天鹅-关于自己•愿望,default,
40,|语音内容=打捞那些珍贵的记忆，将它们封存于净土之中。如此，一切都不会真正逝去。,default,
41,|语音内容日语=貴重な記憶を掬い上げ、浄土の中に封じ込める。そうすれば、何事も真の意味で過ぎ去ることはなくなるわ。,default,
42,"|语音内容英语=Recover those cherished recollections and enshrine them in a land of purity. In doing so, all will be preserved from true oblivion.",default,
