line_number,content,category,character
1,{{面包屑|角色图鉴|{{#titleparts:{{PAGENAME}}|1}}}}{{角色导航}},default,
2,==官方介绍==,default,
3,[[File:黑天鹅官方介绍图.png|thumb|200px]],default,
4,"<div class=""row"">",default,
5,"<div class=""col-sm-9"">",default,
6,[[File:黑天鹅官方介绍图2.png|500px|center]]<br>,default,
7,{{角色介绍,default,
8,|职业背景=1A1031,default,
9,|职业颜色=d7d6f6,default,
10,|职业=优雅神秘的占卜师，<br><small>「流光忆庭」的忆者</small>,default,
11,|介绍=你看起来精神满满呢，今天想了解什么？<br>读心术…是未曾探知过的领域呢。<br>对忆者来说，收集和保存珍贵的记忆更有意义。<br>不过…我虽然不会读心，但占卜还算擅长，想尝试一下么？,default,
12,|表格背景=140F23,default,
13,|表格边框=1A1417,default,
14,|标题颜色=FFFFFF,default,
15,|标题背景=332860,default,
16,|内容颜色=282536,default,
17,|内容背景=E3DAD5,default,
18,|备注颜色=F0CC99,default,
19,|标题1=只能通过记忆占卜吗？,default,
20,|内容1=群星的运动、纸牌的预言、记忆的指引…这些都不失为一些占卜方法，你想尝试哪一种？嗯…忘记了很多事么？看来记忆是行不通了呢。<br>纸牌，当然可以。那就让我们来准备一下吧。现在…看看我手中的纸牌，闭上眼睛，感受…聆听…默念心中所想。好了小家伙，睁开眼睛吧。<br>我看到你的前路充满了层层迷雾，但仍有微弱的星光在给予指引。选择和信念，对你来说似乎相当重要。,default,
21,|备注1=三月七：关于记忆…我还记得一点点！黑天鹅小姐，可以给我也占卜一下吗~,content,三月七
22,|标题2=收集和保存记忆的用途…,default,
23,|内容2=我见过太多文明在漫长的时光长河中消逝，没有记载，更没有遗留之物，仿佛它从未诞生过。<br>你、我，甚至星球和宇宙…或许终有一天会被遗忘。哎呀，气氛有些沉重了…别介意，我只是对那些未能得到保存的记忆感到遗憾而已。<br>在忆者间，曾流传着这样的传说：那些保存的记忆，会被「浮黎」编织入善见天，在世界覆灭后，它们将成为重塑一切的模板。或许有一天…你的记忆也会被存入其中。,content,曾流传着这样的传说
24,|备注2=砂金：善见天？够有趣。要是能收购如此庞大的记忆体…是时候筹划一下了。,content,砂金
25,|标题3=可以做个交换吗？,default,
26,|内容3=想用现有的回忆交换一个故事…很有趣的想法，说说看吧。…曾和伙伴们一起拯救了一颗濒临灭绝的星球，这的确是一段值得珍藏的记忆。作为交换，你可以在这些忆泡中挑选一个最感兴趣的…请随意选择。<br>选了这枚吗？很遗憾…这段记忆空无渺茫，不见边际，像是一片被白雾笼罩的终末焦土。我虽能感知到一处微小的记忆痕迹，可越想触及，雾就越混沌。这个记忆似乎被刻意安上了层层枷锁，不过倒也还算特别。,default,
27,|备注3=花火：忆者，我的记忆绝对五光十色，全是故事！看看我的呗？,content,花火
28,|标题4=你的名字也很特别…,default,
29,|内容4=谢谢。这个名字对我来说，就如同在荒野中消失的石碑、在岁月中干涸的海洋。人们可能不会知道，石碑曾是一座巨大的英雄雕像，海洋曾是一座座高耸入天际的山峰。<br>遥远的将来，一定也会有这样的一天——人们看到黑天鹅前，从不知道天鹅不止白色一种。,default,
30,|备注4=黄泉：忆者有很多种方法编织过去，但我们仍要走向将来。,content,黄泉
31,}},default,
32,<center><gallery mode=nolines>,default,
33,File:黑天鹅角色介绍图1.png|角色介绍1,default,
34,File:黑天鹅角色介绍图2.png|角色介绍2,default,
35,File:黑天鹅角色前瞻图.jpg|角色前瞻,default,
36,File:黑天鹅官方故事图.jpg|角色故事,default,
37,File:黑天鹅壁纸.jpg|手机壁纸,default,
38,</gallery></center>,default,
39,</div></div>,default,
40,{{相关光锥|黑天鹅}},default,
41,,default,
42,{{人物出场|黑天鹅}},default,
43,,default,
44,==相关物品==,default,
45,{{相关物品|黑天鹅}},default,
46,,default,
47,==人物考据==,default,
48,*定分枪分数：61分,content,定分枪分数
